date,open,high,low,close,volume
2025-01-02,100.37,101.17,99.77,100.57,1000000
2025-01-03,100.79,101.59,100.19,100.99,1001000
2025-01-04,101.21,102.01,100.61,101.41,1002000
2025-01-05,101.63,102.43,101.03,101.83,1003000
2025-01-06,102.05,102.85,101.45,102.25,1004000
2025-01-07,102.62,103.42,102.02,102.82,1005000
2025-01-08,103.04,103.84,102.44,103.24,1006000
2025-01-09,103.46,104.26,102.86,103.66,1007000
2025-01-10,103.88,104.68,103.28,104.08,1008000
2025-01-11,104.30,105.10,103.70,104.50,1009000
2025-01-12,104.87,105.67,104.27,105.07,1010000
2025-01-13,105.29,106.09,104.69,105.49,1011000
2025-01-14,105.71,106.51,105.11,105.91,1012000
2025-01-15,106.13,106.93,105.53,106.33,1013000
2025-01-16,106.55,107.35,105.95,106.75,1014000
2025-01-17,107.12,107.92,106.52,107.32,1015000
2025-01-18,107.54,108.34,106.94,107.74,1016000
2025-01-19,107.96,108.76,107.36,108.16,1017000
2025-01-20,108.38,109.18,107.78,108.58,1018000
2025-01-21,108.80,109.60,108.20,109.00,1019000
2025-01-22,109.37,110.17,108.77,109.57,1020000
2025-01-23,109.79,110.59,109.19,109.99,1021000
2025-01-24,110.21,111.01,109.61,110.41,1022000
2025-01-25,110.63,111.43,110.03,110.83,1023000
2025-01-26,111.05,111.85,110.45,111.25,1024000
2025-01-27,111.62,112.42,111.02,111.82,1025000
2025-01-28,112.04,112.84,111.44,112.24,1026000
2025-01-29,112.46,113.26,111.86,112.66,1027000
2025-01-30,112.88,113.68,112.28,113.08,1028000
2025-01-31,113.30,114.10,112.70,113.50,1029000
2025-02-01,113.87,114.67,113.27,114.07,1030000
2025-02-02,114.29,115.09,113.69,114.49,1031000
2025-02-03,114.71,115.51,114.11,114.91,1032000
2025-02-04,115.13,115.93,114.53,115.33,1033000
2025-02-05,115.55,116.35,114.95,115.75,1034000
2025-02-06,116.12,116.92,115.52,116.32,1035000
2025-02-07,116.54,117.34,115.94,116.74,1036000
2025-02-08,116.96,117.76,116.36,117.16,1037000
2025-02-09,117.38,118.18,116.78,117.58,1038000
2025-02-10,117.80,118.60,117.20,118.00,1039000
2025-02-11,118.37,119.17,117.77,118.57,1040000
2025-02-12,118.79,119.59,118.19,118.99,1041000
2025-02-13,119.21,120.01,118.61,119.41,1042000
2025-02-14,119.63,120.43,119.03,119.83,1043000
2025-02-15,120.05,120.85,119.45,120.25,1044000
2025-02-16,120.62,121.42,120.02,120.82,1045000
2025-02-17,121.04,121.84,120.44,121.24,1046000
2025-02-18,121.46,122.26,120.86,121.66,1047000
2025-02-19,121.88,122.68,121.28,122.08,1048000
2025-02-20,122.30,123.10,121.70,122.50,1049000
2025-02-21,122.87,123.67,122.27,123.07,1050000
2025-02-22,123.29,124.09,122.69,123.49,1051000
2025-02-23,123.71,124.51,123.11,123.91,1052000
2025-02-24,124.13,124.93,123.53,124.33,1053000
2025-02-25,124.55,125.35,123.95,124.75,1054000
2025-02-26,125.12,125.92,124.52,125.32,1055000
2025-02-27,125.54,126.34,124.94,125.74,1056000
2025-02-28,125.96,126.76,125.36,126.16,1057000
2025-03-01,126.38,127.18,125.78,126.58,1058000
2025-03-02,126.80,127.60,126.20,127.00,1059000
2025-03-03,127.37,128.17,126.77,127.57,1060000
2025-03-04,127.79,128.59,127.19,127.99,1061000
2025-03-05,128.21,129.01,127.61,128.41,1062000
2025-03-06,128.63,129.43,128.03,128.83,1063000
2025-03-07,129.05,129.85,128.45,129.25,1064000
