date,open,high,low,close,volume
2025-01-02,100.37,101.17,99.77,100.57,1000000
2025-01-03,100.79,101.59,100.19,100.99,1001000
2025-01-04,101.21,102.01,100.61,101.41,1002000
2025-01-05,101.63,102.43,101.03,101.83,1003000
2025-01-06,102.05,102.85,101.45,102.25,1004000
2025-01-07,102.47,103.27,101.87,102.67,1005000
2025-01-08,102.89,103.69,102.29,103.09,1006000
2025-01-09,103.31,104.11,102.71,103.51,1007000
2025-01-10,103.73,104.53,103.13,103.93,1008000
2025-01-11,104.15,104.95,103.55,104.35,1009000
2025-01-12,104.57,105.37,103.97,104.77,1010000
2025-01-13,104.99,105.79,104.39,105.19,1011000
2025-01-14,105.41,106.21,104.81,105.61,1012000
2025-01-15,105.83,106.63,105.23,106.03,1013000
2025-01-16,106.25,107.05,105.65,106.45,1014000
2025-01-17,106.67,107.47,106.07,106.87,1015000
2025-01-18,107.09,107.89,106.49,107.29,1016000
2025-01-19,107.51,108.31,106.91,107.71,1017000
2025-01-20,107.93,108.73,107.33,108.13,1018000
2025-01-21,108.35,109.15,107.75,108.55,1019000
2025-01-22,108.77,109.57,108.17,108.97,1020000
2025-01-23,109.19,109.99,108.59,109.39,1021000
2025-01-24,109.61,110.41,109.01,109.81,1022000
2025-01-25,110.03,110.83,109.43,110.23,1023000
2025-01-26,110.45,111.25,109.85,110.65,1024000
2025-01-27,110.87,111.67,110.27,111.07,1025000
2025-01-28,111.29,112.09,110.69,111.49,1026000
2025-01-29,111.71,112.51,111.11,111.91,1027000
2025-01-30,112.13,112.93,111.53,112.33,1028000
2025-01-31,112.55,113.35,111.95,112.75,1029000
2025-02-01,112.97,113.77,112.37,113.17,1030000
2025-02-02,113.39,114.19,112.79,113.59,1031000
2025-02-03,113.81,114.61,113.21,114.01,1032000
2025-02-04,114.23,115.03,113.63,114.43,1033000
2025-02-05,114.65,115.45,114.05,114.85,1034000
2025-02-06,115.07,115.87,114.47,115.27,1035000
2025-02-07,115.49,116.29,114.89,115.69,1036000
2025-02-08,115.91,116.71,115.31,116.11,1037000
2025-02-09,116.33,117.13,115.73,116.53,1038000
2025-02-10,116.75,117.55,116.15,116.95,1039000
2025-02-11,117.17,117.97,116.57,117.37,1040000
2025-02-12,117.59,118.39,116.99,117.79,1041000
2025-02-13,118.01,118.81,117.41,118.21,1042000
2025-02-14,118.43,119.23,117.83,118.63,1043000
2025-02-15,118.85,119.65,118.25,119.05,1044000
2025-02-16,119.27,120.07,118.67,119.47,1045000
2025-02-17,119.69,120.49,119.09,119.89,1046000
2025-02-18,120.11,120.91,119.51,120.31,1047000
2025-02-19,120.53,121.33,119.93,120.73,1048000
2025-02-20,120.95,121.75,120.35,121.15,1049000
2025-02-21,121.37,122.17,120.77,121.57,1050000
2025-02-22,121.79,122.59,121.19,121.99,1051000
2025-02-23,122.21,123.01,121.61,122.41,1052000
2025-02-24,122.63,123.43,122.03,122.83,1053000
2025-02-25,123.05,123.85,122.45,123.25,1054000
2025-02-26,123.47,124.27,122.87,123.67,1055000
2025-02-27,123.89,124.69,123.29,124.09,1056000
2025-02-28,124.31,125.11,123.71,124.51,1057000
2025-03-01,124.73,125.53,124.13,124.93,1058000
2025-03-02,125.15,125.95,124.55,125.35,1059000
2025-03-03,125.57,126.37,124.97,125.77,1060000
2025-03-04,125.99,126.79,125.39,126.19,1061000
2025-03-05,126.41,127.21,125.81,126.61,1062000
2025-03-06,126.83,127.63,126.23,127.03,1063000
2025-03-07,127.25,128.05,126.65,127.45,1064000
